,quality,color
0,5,red
1,5,red
2,5,red
3,6,red
4,5,red
5,5,red
6,5,red
7,7,red
8,7,red
9,5,red
10,5,red
11,5,red
12,5,red
13,5,red
14,5,red
15,5,red
16,7,red
17,5,red
18,4,red
19,6,red
20,6,red
21,5,red
22,5,red
23,5,red
24,6,red
25,5,red
26,5,red
27,5,red
28,5,red
29,6,red
30,5,red
31,6,red
32,5,red
33,6,red
34,5,red
35,6,red
36,6,red
37,7,red
38,4,red
39,5,red
40,5,red
41,4,red
42,6,red
43,5,red
44,5,red
45,4,red
46,5,red
47,5,red
48,5,red
49,5,red
50,5,red
51,6,red
52,6,red
53,5,red
54,6,red
55,5,red
56,5,red
57,5,red
58,5,red
59,6,red
60,5,red
61,5,red
62,7,red
63,5,red
64,5,red
65,5,red
66,5,red
67,5,red
68,5,red
69,6,red
70,6,red
71,5,red
72,5,red
73,4,red
74,5,red
75,5,red
76,5,red
77,6,red
78,5,red
79,4,red
80,5,red
81,5,red
82,5,red
83,5,red
84,6,red
85,5,red
86,6,red
87,5,red
88,5,red
89,5,red
90,5,red
91,6,red
92,5,red
93,5,red
94,4,red
95,6,red
96,5,red
97,5,red
98,5,red
99,6,red
100,6,red
101,6,red
102,6,red
103,5,red
104,5,red
105,5,red
106,5,red
107,5,red
108,6,red
109,5,red
110,5,red
111,5,red
112,5,red
113,6,red
114,5,red
115,6,red
116,6,red
117,6,red
118,6,red
119,6,red
120,5,red
121,6,red
122,5,red
123,5,red
124,5,red
125,5,red
126,5,red
127,5,red
128,7,red
129,5,red
130,5,red
131,5,red
132,5,red
133,6,red
134,6,red
135,5,red
136,5,red
137,5,red
138,5,red
139,5,red
140,5,red
141,5,red
142,6,red
143,5,red
144,6,red
145,5,red
146,5,red
147,5,red
148,6,red
149,6,red
150,6,red
151,4,red
152,5,red
153,5,red
154,5,red
155,5,red
156,5,red
157,5,red
158,5,red
159,6,red
160,5,red
161,4,red
162,6,red
163,5,red
164,5,red
165,5,red
166,5,red
167,4,red
168,6,red
169,5,red
170,4,red
171,6,red
172,6,red
173,6,red
174,5,red
175,5,red
176,5,red
177,6,red
178,5,red
179,5,red
180,5,red
181,5,red
182,5,red
183,5,red
184,6,red
185,5,red
186,5,red
187,5,red
188,5,red
189,5,red
190,5,red
191,6,red
192,5,red
193,5,red
194,5,red
195,5,red
196,5,red
197,6,red
198,7,red
199,4,red
200,7,red
201,5,red
202,5,red
203,5,red
204,6,red
205,7,red
206,7,red
207,5,red
208,5,red
209,7,red
210,6,red
211,6,red
212,6,red
213,5,red
214,6,red
215,5,red
216,5,red
217,5,red
218,5,red
219,5,red
220,6,red
221,5,red
222,5,red
223,6,red
224,4,red
225,6,red
226,6,red
227,5,red
228,6,red
229,5,red
230,7,red
231,6,red
232,6,red
233,5,red
234,6,red
235,6,red
236,6,red
237,6,red
238,6,red
239,6,red
240,5,red
241,6,red
242,6,red
243,7,red
244,7,red
245,6,red
246,5,red
247,5,red
248,6,red
249,6,red
250,6,red
251,6,red
252,5,red
253,5,red
254,6,red
255,5,red
256,5,red
257,5,red
258,5,red
259,7,red
260,5,red
261,4,red
262,5,red
263,5,red
264,5,red
265,7,red
266,4,red
267,8,red
268,6,red
269,6,red
270,6,red
271,6,red
272,5,red
273,5,red
274,5,red
275,6,red
276,6,red
277,6,red
278,8,red
279,7,red
280,6,red
281,7,red
282,5,red
283,7,red
284,5,red
285,5,red
286,6,red
287,6,red
288,7,red
289,5,red
290,7,red
291,5,red
292,6,red
293,6,red
294,6,red
295,5,red
296,5,red
297,5,red
298,5,red
299,5,red
300,6,red
301,6,red
302,5,red
303,5,red
304,5,red
305,6,red
306,5,red
307,6,red
308,6,red
309,6,red
310,6,red
311,6,red
312,6,red
313,5,red
314,5,red
315,6,red
316,5,red
317,6,red
318,7,red
319,6,red
320,7,red
321,5,red
322,5,red
323,6,red
324,6,red
325,6,red
326,7,red
327,5,red
328,6,red
329,5,red
330,6,red
331,6,red
332,6,red
333,5,red
334,7,red
335,7,red
336,6,red
337,5,red
338,6,red
339,7,red
340,6,red
341,6,red
342,6,red
343,6,red
344,6,red
345,5,red
346,7,red
347,6,red
348,6,red
349,6,red
350,6,red
351,6,red
352,5,red
353,5,red
354,6,red
355,6,red
356,5,red
357,7,red
358,7,red
359,6,red
360,5,red
361,6,red
362,5,red
363,5,red
364,7,red
365,6,red
366,7,red
367,5,red
368,5,red
369,7,red
370,5,red
371,6,red
372,6,red
373,5,red
374,6,red
375,7,red
376,6,red
377,7,red
378,6,red
379,6,red
380,6,red
381,6,red
382,6,red
383,6,red
384,5,red
385,6,red
386,6,red
387,6,red
388,6,red
389,7,red
390,8,red
391,6,red
392,5,red
393,5,red
394,5,red
395,7,red
396,5,red
397,6,red
398,6,red
399,5,red
400,5,red
401,6,red
402,6,red
403,6,red
404,5,red
405,6,red
406,6,red
407,7,red
408,6,red
409,4,red
410,6,red
411,5,red
412,5,red
413,7,red
414,5,red
415,5,red
416,6,red
417,5,red
418,6,red
419,5,red
420,7,red
421,7,red
422,5,red
423,7,red
424,5,red
425,7,red
426,6,red
427,6,red
428,5,red
429,6,red
430,7,red
431,5,red
432,6,red
433,5,red
434,6,red
435,5,red
436,6,red
437,6,red
438,6,red
439,5,red
440,8,red
441,6,red
442,7,red
443,7,red
444,7,red
445,6,red
446,5,red
447,5,red
448,6,red
449,6,red
450,6,red
451,6,red
452,6,red
453,7,red
454,5,red
455,8,red
456,5,red
457,5,red
458,7,red
459,3,red
460,6,red
461,5,red
462,5,red
463,5,red
464,6,red
465,5,red
466,6,red
467,6,red
468,6,red
469,5,red
470,5,red
471,6,red
472,6,red
473,5,red
474,6,red
475,5,red
476,5,red
477,6,red
478,5,red
479,6,red
480,5,red
481,8,red
482,5,red
483,5,red
484,6,red
485,5,red
486,5,red
487,6,red
488,7,red
489,6,red
490,6,red
491,7,red
492,7,red
493,6,red
494,6,red
495,8,red
496,6,red
497,5,red
498,8,red
499,6,red
500,6,red
501,7,red
502,7,red
503,7,red
504,7,red
505,7,red
506,7,red
507,6,red
508,6,red
509,7,red
510,5,red
511,6,red
512,6,red
513,7,red
514,7,red
515,5,red
516,6,red
517,3,red
518,6,red
519,5,red
520,6,red
521,5,red
522,5,red
523,5,red
524,5,red
525,5,red
526,5,red
527,6,red
528,6,red
529,5,red
530,6,red
531,5,red
532,5,red
533,6,red
534,6,red
535,6,red
536,5,red
537,6,red
538,7,red
539,5,red
540,5,red
541,6,red
542,5,red
543,6,red
544,6,red
545,5,red
546,6,red
547,6,red
548,6,red
549,6,red
550,6,red
551,6,red
552,6,red
553,5,red
554,5,red
555,5,red
556,6,red
557,5,red
558,6,red
559,6,red
560,5,red
561,5,red
562,5,red
563,6,red
564,6,red
565,5,red
566,6,red
567,6,red
568,6,red
569,6,red
570,6,red
571,6,red
572,5,red
573,4,red
574,6,red
575,6,red
576,4,red
577,5,red
578,5,red
579,6,red
580,5,red
581,5,red
582,5,red
583,7,red
584,7,red
585,6,red
586,7,red
587,5,red
588,8,red
589,7,red
590,5,red
591,6,red
592,5,red
593,5,red
594,5,red
595,5,red
596,6,red
597,6,red
598,6,red
599,6,red
600,4,red
601,6,red
602,5,red
603,6,red
604,6,red
605,6,red
606,7,red
607,6,red
608,6,red
609,6,red
610,5,red
611,5,red
612,6,red
613,5,red
614,6,red
615,5,red
616,5,red
617,6,red
618,5,red
619,5,red
620,5,red
621,5,red
622,5,red
623,6,red
624,5,red
625,5,red
626,5,red
627,5,red
628,6,red
629,5,red
630,6,red
631,5,red
632,6,red
633,4,red
634,5,red
635,5,red
636,5,red
637,5,red
638,7,red
639,6,red
640,5,red
641,5,red
642,5,red
643,5,red
644,5,red
645,7,red
646,5,red
647,4,red
648,7,red
649,6,red
650,5,red
651,5,red
652,5,red
653,6,red
654,5,red
655,5,red
656,5,red
657,7,red
658,6,red
659,4,red
660,6,red
661,5,red
662,6,red
663,6,red
664,5,red
665,5,red
666,6,red
667,6,red
668,5,red
669,6,red
670,5,red
671,5,red
672,5,red
673,5,red
674,6,red
675,5,red
676,6,red
677,5,red
678,5,red
679,5,red
680,5,red
681,6,red
682,5,red
683,5,red
684,5,red
685,5,red
686,5,red
687,5,red
688,5,red
689,5,red
690,3,red
691,5,red
692,5,red
693,5,red
694,5,red
695,6,red
696,6,red
697,6,red
698,5,red
699,6,red
700,6,red
701,6,red
702,6,red
703,4,red
704,4,red
705,5,red
706,5,red
707,5,red
708,6,red
709,6,red
710,5,red
711,5,red
712,5,red
713,5,red
714,5,red
715,6,red
716,5,red
717,5,red
718,5,red
719,5,red
720,5,red
721,5,red
722,5,red
723,5,red
724,4,red
725,5,red
726,6,red
727,5,red
728,5,red
729,6,red
730,5,red
731,5,red
732,5,red
733,5,red
734,5,red
735,5,red
736,5,red
737,6,red
738,5,red
739,5,red
740,6,red
741,5,red
742,5,red
743,5,red
744,5,red
745,6,red
746,6,red
747,5,red
748,6,red
749,6,red
750,5,red
751,5,red
752,5,red
753,5,red
754,6,red
755,6,red
756,6,red
757,5,red
758,5,red
759,5,red
760,5,red
761,5,red
762,6,red
763,5,red
764,6,red
765,6,red
766,5,red
767,5,red
768,6,red
769,5,red
770,6,red
771,5,red
772,5,red
773,6,red
774,6,red
775,5,red
776,6,red
777,6,red
778,5,red
779,5,red
780,6,red
781,5,red
782,5,red
783,5,red
784,5,red
785,5,red
786,5,red
787,6,red
788,6,red
789,5,red
790,6,red
791,5,red
792,6,red
793,5,red
794,6,red
795,5,red
796,5,red
797,7,red
798,6,red
799,6,red
800,5,red
801,5,red
802,7,red
803,6,red
804,6,red
805,7,red
806,7,red
807,7,red
808,5,red
809,6,red
810,5,red
811,6,red
812,5,red
813,4,red
814,6,red
815,5,red
816,6,red
817,6,red
818,5,red
819,5,red
820,5,red
821,7,red
822,5,red
823,5,red
824,5,red
825,5,red
826,7,red
827,5,red
828,8,red
829,6,red
830,4,red
831,6,red
832,3,red
833,4,red
834,5,red
835,5,red
836,7,red
837,7,red
838,7,red
839,5,red
840,7,red
841,5,red
842,6,red
843,5,red
844,6,red
845,5,red
846,5,red
847,6,red
848,5,red
849,5,red
850,5,red
851,5,red
852,5,red
853,6,red
854,6,red
855,7,red
856,6,red
857,7,red
858,7,red
859,6,red
860,5,red
861,6,red
862,5,red
863,5,red
864,5,red
865,5,red
866,6,red
867,6,red
868,6,red
869,6,red
870,6,red
871,5,red
872,4,red
873,7,red
874,7,red
875,7,red
876,4,red
877,6,red
878,6,red
879,5,red
880,5,red
881,6,red
882,6,red
883,5,red
884,6,red
885,5,red
886,6,red
887,7,red
888,6,red
889,5,red
890,5,red
891,5,red
892,6,red
893,5,red
894,6,red
895,6,red
896,7,red
897,6,red
898,7,red
899,3,red
900,5,red
901,7,red
902,7,red
903,7,red
904,7,red
905,5,red
906,5,red
907,6,red
908,6,red
909,6,red
910,6,red
911,6,red
912,6,red
913,7,red
914,6,red
915,6,red
916,5,red
917,6,red
918,6,red
919,6,red
920,5,red
921,6,red
922,6,red
923,6,red
924,5,red
925,7,red
926,6,red
927,4,red
928,5,red
929,7,red
930,5,red
931,5,red
932,6,red
933,5,red
934,5,red
935,6,red
936,6,red
937,4,red
938,7,red
939,5,red
940,7,red
941,7,red
942,7,red
943,7,red
944,7,red
945,7,red
946,7,red
947,7,red
948,7,red
949,7,red
950,7,red
951,7,red
952,7,red
953,7,red
954,6,red
955,5,red
956,6,red
957,6,red
958,7,red
959,5,red
960,6,red
961,5,red
962,5,red
963,6,red
964,6,red
965,6,red
966,7,red
967,5,red
968,6,red
969,5,red
970,6,red
971,6,red
972,7,red
973,5,red
974,7,red
975,5,red
976,5,red
977,5,red
978,7,red
979,5,red
980,6,red
981,5,red
982,6,red
983,6,red
984,5,red
985,6,red
986,7,red
987,5,red
988,5,red
989,6,red
990,5,red
991,5,red
992,6,red
993,5,red
994,5,red
995,6,red
996,7,red
997,7,red
998,6,red
999,6,red
1000,7,red
1001,7,red
1002,7,red
1003,7,red
1004,5,red
1005,7,red
1006,7,red
1007,7,red
1008,7,red
1009,5,red
1010,7,red
1011,6,red
1012,5,red
1013,6,red
1014,6,red
1015,6,red
1016,7,red
1017,6,red
1018,6,red
1019,5,red
1020,6,red
1021,6,red
1022,5,red
1023,6,red
1024,7,red
1025,6,red
1026,6,red
1027,5,red
1028,6,red
1029,7,red
1030,7,red
1031,7,red
1032,5,red
1033,6,red
1034,6,red
1035,7,red
1036,7,red
1037,5,red
1038,7,red
1039,6,red
1040,5,red
1041,6,red
1042,6,red
1043,7,red
1044,6,red
1045,6,red
1046,6,red
1047,5,red
1048,6,red
1049,6,red
1050,5,red
1051,5,red
1052,5,red
1053,7,red
1054,6,red
1055,6,red
1056,7,red
1057,5,red
1058,7,red
1059,7,red
1060,6,red
1061,8,red
1062,6,red
1063,6,red
1064,6,red
1065,6,red
1066,7,red
1067,7,red
1068,7,red
1069,5,red
1070,7,red
1071,5,red
1072,6,red
1073,6,red
1074,5,red
1075,7,red
1076,6,red
1077,5,red
1078,5,red
1079,7,red
1080,6,red
1081,7,red
1082,6,red
1083,6,red
1084,6,red
1085,5,red
1086,7,red
1087,6,red
1088,7,red
1089,7,red
1090,8,red
1091,6,red
1092,6,red
1093,7,red
1094,6,red
1095,5,red
1096,6,red
1097,5,red
1098,7,red
1099,5,red
1100,6,red
1101,6,red
1102,6,red
1103,6,red
1104,6,red
1105,5,red
1106,6,red
1107,7,red
1108,5,red
1109,6,red
1110,6,red
1111,7,red
1112,6,red
1113,6,red
1114,6,red
1115,6,red
1116,6,red
1117,6,red
1118,6,red
1119,5,red
1120,8,red
1121,6,red
1122,6,red
1123,6,red
1124,4,red
1125,7,red
1126,6,red
1127,6,red
1128,5,red
1129,6,red
1130,6,red
1131,5,red
1132,7,red
1133,7,red
1134,7,red
1135,6,red
1136,6,red
1137,6,red
1138,5,red
1139,6,red
1140,6,red
1141,6,red
1142,6,red
1143,6,red
1144,5,red
1145,6,red
1146,6,red
1147,7,red
1148,6,red
1149,6,red
1150,7,red
1151,6,red
1152,5,red
1153,6,red
1154,6,red
1155,5,red
1156,7,red
1157,7,red
1158,6,red
1159,5,red
1160,7,red
1161,6,red
1162,7,red
1163,5,red
1164,5,red
1165,5,red
1166,5,red
1167,7,red
1168,6,red
1169,6,red
1170,6,red
1171,6,red
1172,6,red
1173,6,red
1174,6,red
1175,6,red
1176,4,red
1177,7,red
1178,5,red
1179,6,red
1180,6,red
1181,5,red
1182,6,red
1183,5,red
1184,5,red
1185,6,red
1186,5,red
1187,6,red
1188,5,red
1189,4,red
1190,6,red
1191,5,red
1192,7,red
1193,5,red
1194,6,red
1195,6,red
1196,6,red
1197,6,red
1198,6,red
1199,6,red
1200,6,red
1201,7,red
1202,8,red
1203,5,red
1204,7,red
1205,7,red
1206,7,red
1207,5,red
1208,7,red
1209,7,red
1210,6,red
1211,5,red
1212,6,red
1213,6,red
1214,6,red
1215,6,red
1216,6,red
1217,6,red
1218,6,red
1219,6,red
1220,6,red
1221,6,red
1222,6,red
1223,6,red
1224,6,red
1225,5,red
1226,5,red
1227,5,red
1228,7,red
1229,5,red
1230,6,red
1231,5,red
1232,5,red
1233,4,red
1234,6,red
1235,4,red
1236,6,red
1237,6,red
1238,4,red
1239,4,red
1240,5,red
1241,5,red
1242,6,red
1243,5,red
1244,6,red
1245,5,red
1246,5,red
1247,5,red
1248,6,red
1249,6,red
1250,6,red
1251,5,red
1252,5,red
1253,5,red
1254,5,red
1255,5,red
1256,5,red
1257,6,red
1258,6,red
1259,6,red
1260,5,red
1261,4,red
1262,5,red
1263,4,red
1264,6,red
1265,6,red
1266,6,red
1267,6,red
1268,6,red
1269,8,red
1270,6,red
1271,6,red
1272,5,red
1273,5,red
1274,6,red
1275,6,red
1276,4,red
1277,6,red
1278,6,red
1279,7,red
1280,6,red
1281,6,red
1282,6,red
1283,6,red
1284,5,red
1285,5,red
1286,6,red
1287,5,red
1288,5,red
1289,5,red
1290,5,red
1291,6,red
1292,6,red
1293,4,red
1294,6,red
1295,5,red
1296,5,red
1297,6,red
1298,6,red
1299,3,red
1300,6,red
1301,6,red
1302,6,red
1303,5,red
1304,5,red
1305,5,red
1306,5,red
1307,4,red
1308,5,red
1309,5,red
1310,5,red
1311,6,red
1312,5,red
1313,6,red
1314,6,red
1315,6,red
1316,6,red
1317,6,red
1318,6,red
1319,6,red
1320,5,red
1321,6,red
1322,5,red
1323,7,red
1324,6,red
1325,6,red
1326,6,red
1327,6,red
1328,5,red
1329,6,red
1330,6,red
1331,5,red
1332,6,red
1333,5,red
1334,5,red
1335,6,red
1336,5,red
1337,5,red
1338,5,red
1339,6,red
1340,6,red
1341,6,red
1342,6,red
1343,6,red
1344,5,red
1345,6,red
1346,5,red
1347,5,red
1348,5,red
1349,5,red
1350,5,red
1351,6,red
1352,5,red
1353,5,red
1354,5,red
1355,5,red
1356,5,red
1357,6,red
1358,5,red
1359,6,red
1360,5,red
1361,5,red
1362,6,red
1363,4,red
1364,6,red
1365,5,red
1366,5,red
1367,6,red
1368,6,red
1369,4,red
1370,5,red
1371,6,red
1372,5,red
1373,5,red
1374,3,red
1375,5,red
1376,5,red
1377,6,red
1378,6,red
1379,6,red
1380,6,red
1381,5,red
1382,5,red
1383,5,red
1384,5,red
1385,5,red
1386,5,red
1387,5,red
1388,5,red
1389,5,red
1390,6,red
1391,5,red
1392,5,red
1393,5,red
1394,5,red
1395,6,red
1396,5,red
1397,5,red
1398,7,red
1399,6,red
1400,5,red
1401,5,red
1402,6,red
1403,8,red
1404,6,red
1405,7,red
1406,6,red
1407,6,red
1408,7,red
1409,6,red
1410,6,red
1411,6,red
1412,6,red
1413,5,red
1414,5,red
1415,5,red
1416,5,red
1417,7,red
1418,5,red
1419,5,red
1420,5,red
1421,5,red
1422,6,red
1423,4,red
1424,6,red
1425,6,red
1426,6,red
1427,5,red
1428,5,red
1429,5,red
1430,5,red
1431,6,red
1432,6,red
1433,7,red
1434,6,red
1435,6,red
1436,5,red
1437,5,red
1438,5,red
1439,6,red
1440,7,red
1441,6,red
1442,5,red
1443,5,red
1444,6,red
1445,6,red
1446,5,red
1447,5,red
1448,5,red
1449,8,red
1450,7,red
1451,7,red
1452,7,red
1453,5,red
1454,6,red
1455,6,red
1456,6,red
1457,5,red
1458,5,red
1459,7,red
1460,6,red
1461,4,red
1462,6,red
1463,6,red
1464,5,red
1465,5,red
1466,7,red
1467,4,red
1468,7,red
1469,3,red
1470,5,red
1471,5,red
1472,6,red
1473,5,red
1474,5,red
1475,7,red
1476,5,red
1477,7,red
1478,3,red
1479,5,red
1480,4,red
1481,5,red
1482,4,red
1483,5,red
1484,4,red
1485,5,red
1486,5,red
1487,5,red
1488,5,red
1489,6,red
1490,6,red
1491,5,red
1492,5,red
1493,5,red
1494,7,red
1495,6,red
1496,5,red
1497,6,red
1498,6,red
1499,6,red
1500,5,red
1501,5,red
1502,5,red
1503,6,red
1504,6,red
1505,3,red
1506,6,red
1507,6,red
1508,6,red
1509,5,red
1510,6,red
1511,5,red
1512,6,red
1513,6,red
1514,6,red
1515,6,red
1516,5,red
1517,6,red
1518,5,red
1519,5,red
1520,6,red
1521,4,red
1522,5,red
1523,5,red
1524,6,red
1525,5,red
1526,6,red
1527,6,red
1528,6,red
1529,6,red
1530,6,red
1531,5,red
1532,6,red
1533,5,red
1534,7,red
1535,6,red
1536,6,red
1537,6,red
1538,5,red
1539,5,red
1540,6,red
1541,7,red
1542,6,red
1543,6,red
1544,7,red
1545,6,red
1546,5,red
1547,5,red
1548,5,red
1549,8,red
1550,5,red
1551,5,red
1552,6,red
1553,5,red
1554,6,red
1555,7,red
1556,5,red
1557,6,red
1558,5,red
1559,5,red
1560,5,red
1561,5,red
1562,5,red
1563,5,red
1564,5,red
1565,6,red
1566,6,red
1567,5,red
1568,5,red
1569,6,red
1570,6,red
1571,6,red
1572,5,red
1573,6,red
1574,6,red
1575,6,red
1576,6,red
1577,6,red
1578,6,red
1579,5,red
1580,6,red
1581,5,red
1582,5,red
1583,5,red
1584,7,red
1585,6,red
1586,6,red
1587,6,red
1588,6,red
1589,5,red
1590,6,red
1591,6,red
1592,6,red
1593,6,red
1594,5,red
1595,6,red
1596,6,red
1597,5,red
1598,6,red
1599,6,white
1600,6,white
1601,6,white
1602,6,white
1603,6,white
1604,6,white
1605,6,white
1606,6,white
1607,6,white
1608,6,white
1609,5,white
1610,5,white
1611,5,white
1612,7,white
1613,5,white
1614,7,white
1615,6,white
1616,8,white
1617,6,white
1618,5,white
1619,8,white
1620,7,white
1621,8,white
1622,5,white
1623,6,white
1624,6,white
1625,6,white
1626,6,white
1627,6,white
1628,7,white
1629,6,white
1630,6,white
1631,6,white
1632,6,white
1633,5,white
1634,5,white
1635,5,white
1636,6,white
1637,5,white
1638,5,white
1639,6,white
1640,6,white
1641,6,white
1642,6,white
1643,6,white
1644,7,white
1645,4,white
1646,5,white
1647,6,white
1648,5,white
1649,6,white
1650,7,white
1651,7,white
1652,6,white
1653,6,white
1654,6,white
1655,6,white
1656,6,white
1657,6,white
1658,6,white
1659,6,white
1660,6,white
1661,5,white
1662,6,white
1663,6,white
1664,5,white
1665,7,white
1666,5,white
1667,8,white
1668,5,white
1669,6,white
1670,5,white
1671,5,white
1672,6,white
1673,8,white
1674,5,white
1675,7,white
1676,7,white
1677,5,white
1678,5,white
1679,6,white
1680,6,white
1681,5,white
1682,6,white
1683,5,white
1684,6,white
1685,6,white
1686,6,white
1687,5,white
1688,6,white
1689,6,white
1690,5,white
1691,7,white
1692,7,white
1693,7,white
1694,6,white
1695,6,white
1696,7,white
1697,4,white
1698,6,white
1699,5,white
1700,5,white
1701,5,white
1702,5,white
1703,5,white
1704,6,white
1705,5,white
1706,6,white
1707,6,white
1708,5,white
1709,6,white
1710,5,white
1711,5,white
1712,5,white
1713,5,white
1714,4,white
1715,6,white
1716,6,white
1717,5,white
1718,5,white
1719,5,white
1720,5,white
1721,5,white
1722,6,white
1723,6,white
1724,6,white
1725,5,white
1726,7,white
1727,7,white
1728,6,white
1729,5,white
1730,7,white
1731,5,white
1732,5,white
1733,5,white
1734,5,white
1735,6,white
1736,5,white
1737,7,white
1738,6,white
1739,5,white
1740,5,white
1741,6,white
1742,6,white
1743,6,white
1744,6,white
1745,6,white
1746,4,white
1747,7,white
1748,6,white
1749,7,white
1750,6,white
1751,6,white
1752,5,white
1753,6,white
1754,6,white
1755,6,white
1756,7,white
1757,8,white
1758,8,white
1759,7,white
1760,5,white
1761,5,white
1762,6,white
1763,5,white
1764,5,white
1765,6,white
1766,7,white
1767,5,white
1768,5,white
1769,6,white
1770,6,white
1771,4,white
1772,7,white
1773,5,white
1774,6,white
1775,4,white
1776,5,white
1777,4,white
1778,6,white
1779,6,white
1780,5,white
1781,5,white
1782,6,white
1783,5,white
1784,5,white
1785,6,white
1786,5,white
1787,8,white
1788,4,white
1789,6,white
1790,5,white
1791,6,white
1792,5,white
1793,5,white
1794,6,white
1795,5,white
1796,5,white
1797,5,white
1798,5,white
1799,5,white
1800,5,white
1801,5,white
1802,6,white
1803,4,white
1804,5,white
1805,5,white
1806,4,white
1807,5,white
1808,6,white
1809,5,white
1810,7,white
1811,5,white
1812,6,white
1813,7,white
1814,5,white
1815,5,white
1816,5,white
1817,5,white
1818,5,white
1819,5,white
1820,6,white
1821,7,white
1822,6,white
1823,6,white
1824,5,white
1825,6,white
1826,6,white
1827,6,white
1828,5,white
1829,4,white
1830,6,white
1831,6,white
1832,6,white
1833,6,white
1834,6,white
1835,6,white
1836,6,white
1837,7,white
1838,6,white
1839,5,white
1840,5,white
1841,7,white
1842,6,white
1843,5,white
1844,6,white
1845,7,white
1846,7,white
1847,7,white
1848,5,white
1849,4,white
1850,3,white
1851,5,white
1852,3,white
1853,6,white
1854,8,white
1855,7,white
1856,7,white
1857,6,white
1858,4,white
1859,6,white
1860,5,white
1861,5,white
1862,6,white
1863,6,white
1864,5,white
1865,6,white
1866,5,white
1867,6,white
1868,6,white
1869,6,white
1870,5,white
